"column_name","data_type","is_nullable","column_default"
"sys2_batterycombinerpanel_bus_rating","text","YES",NULL
"sys2_batterycombinerpanel_mcb_new_existing","boolean","YES",NULL
"sys2_batterycombinerpanel_mcb_rating","text","YES",NULL
"sys2_batterycombinerpanel_tie_in_breaker_rating","text","YES",NULL
"sys2_batterycombinerpanel_tie_in_breaker_location","text","YES",NULL
"sys2_pv_1_input","text","YES",NULL
"sys2_pv_2_input","text","YES",NULL
"sys2_pv_3_input","text","YES",NULL
"sys2_ess_1_input","text","YES",NULL
"sys2_ess_2_input","text","YES",NULL
"sys2_backup_load_sub_panel_input","text","YES",NULL
"sys2_rsd_input","text","YES",NULL
"sys2_gen_1_input","text","YES",NULL
"sys2_pv1_overwrite","boolean","YES",NULL
"sys2_pv2_overwrite","boolean","YES",NULL
"sys2_pv3_overwrite","boolean","YES",NULL
"sys2_ess1_overwrite","boolean","YES",NULL
"sys2_ess2_overwrite","boolean","YES",NULL
